2026-06-16 13:03:16 | automation | INFO | ========== TC_ATC_003 Started ==========
2026-06-16 13:03:17 | automation | INFO | Application Opened Successfully
2026-06-16 13:03:18 | automation | INFO | Search Product Button Clicked
2026-06-16 13:03:18 | automation | INFO | Add Product Button Clicked
2026-06-16 13:03:18 | automation | INFO | Product Have Benn Added Successfully Validated
2026-06-16 13:03:18 | automation | INFO | Clicked On Cart Button Clicked
2026-06-16 13:03:18 | automation | INFO | Clicked On Cart Button Clicked
2026-06-16 13:03:20 | automation | INFO | Clicked On Cart Button Clicked
2026-06-16 13:03:21 | automation | INFO | ========== TC_ATC_003 Finished ==========
