2026-06-12 13:12:22 | automation | INFO | ========== TC_SF_001 Started ==========
2026-06-12 13:12:23 | automation | INFO | Application Opened Successfully
2026-06-12 13:12:23 | automation | INFO | Entered Product Name : iMac
2026-06-12 13:12:26 | automation | INFO | Clicked Search Button
2026-06-12 13:12:26 | automation | INFO | Just when you thought iMac had everything, now there´s even more. More powerful Intel Core 2 Duo pro..
2026-06-12 13:12:26 | automation | INFO | ========== TC_SF_001 Passed ==========
2026-06-12 13:12:28 | automation | INFO | ========== TC_SF_002 Started ==========
2026-06-12 13:12:29 | automation | INFO | Application Opened Successfully
2026-06-12 13:12:29 | automation | INFO | Entered Product Name : Fitbit
2026-06-12 13:12:32 | automation | INFO | Proper No Product Message Displayed
2026-06-12 13:12:32 | automation | INFO | ========== TC_SF_002 Passed ==========
