2026-06-11 12:43:09 | automation | INFO | ========== TC_SF_011 Started ==========
2026-06-11 12:43:09 | automation | INFO | ========== TC_LF_017 Started ==========
2026-06-11 12:43:12 | automation | INFO | Application Opened Successfully
2026-06-11 12:43:13 | automation | INFO | Searched Product : iMac
2026-06-11 12:43:13 | automation | INFO | Clicked List View
2026-06-11 12:43:13 | automation | INFO | Product Image Displayed In List View
2026-06-11 12:43:15 | automation | INFO | Clicked Product Name
2026-06-11 12:43:15 | automation | INFO | Navigated To Product Display Page
2026-06-11 12:43:18 | automation | INFO | Clicked Grid View
2026-06-11 12:43:18 | automation | INFO | Product Image Displayed In Grid View
2026-06-11 12:43:19 | automation | INFO | Clicked Product Name
