2026-06-11 12:41:42 | automation | INFO | ========== TC_SF_011 Started ==========
2026-06-11 12:41:42 | automation | INFO | ========== TC_LF_017 Started ==========
2026-06-11 12:41:42 | automation | INFO | Application Opened Successfully
2026-06-11 12:41:45 | automation | INFO | Searched Product : iMac
2026-06-11 12:41:45 | automation | INFO | Clicked List View
2026-06-11 12:41:46 | automation | INFO | Product Image Displayed In List View
2026-06-11 12:41:47 | automation | INFO | Clicked Product Name
2026-06-11 12:41:47 | automation | INFO | Navigated To Product Display Page
2026-06-11 12:41:49 | automation | INFO | Clicked Grid View
