2026-06-14 13:05:29 | automation | INFO | ========== TC_SF_015 Started ==========
2026-06-14 13:05:31 | automation | INFO | Application Opened Successfully
2026-06-14 13:05:32 | automation | INFO | Searched Product : Mac
2026-06-14 13:05:32 | automation | INFO | 4 Products Displayed
2026-06-14 13:05:32 | automation | INFO | Show Product Option Displayed
2026-06-14 13:05:32 | automation | INFO | Selected Show Option : 20
2026-06-14 13:05:34 | automation | INFO | Displayed Products : 4
2026-06-14 13:05:34 | automation | INFO | Show Product Option Displayed
2026-06-14 13:05:35 | automation | INFO | Selected Show Option : 25
2026-06-14 13:05:37 | automation | INFO | Displayed Products : 4
