2026-06-08 12:14:45 | automation | INFO | ========== TC_LG_004 Started ==========
2026-06-08 12:14:47 | automation | INFO | Application Opened Successfully
2026-06-08 12:14:47 | automation | INFO | Clicked On My Account
2026-06-08 12:14:47 | automation | INFO | Clicked On Login Page
2026-06-08 12:14:48 | automation | INFO | User Logged In Successfully
2026-06-08 12:14:50 | automation | INFO | Logged Out Successfully
2026-06-08 12:14:50 | automation | INFO | Clicked Browser Back Button
2026-06-08 12:14:52 | automation | INFO | User Remained Logged Out
2026-06-08 12:14:52 | automation | INFO | ========== TC_LG_004 Passed ==========
