2026-06-17 11:29:46 | automation | INFO | ========== TC_ATC_00 Started ==========
2026-06-17 11:29:47 | automation | INFO | Application Opened Successfully
2026-06-17 11:29:48 | automation | INFO | Hover Desktop Menu Clicked
2026-06-17 11:29:48 | automation | INFO | Show All Desktops Clicked
2026-06-17 11:29:48 | automation | INFO | Show All Products Clicked
2026-06-17 11:29:48 | automation | INFO | Product Added to the Cart Clicked
2026-06-17 11:29:49 | automation | INFO | Product Have Benn Added Successfully Validated
2026-06-17 11:29:49 | automation | INFO | Clicked On Cart Button Clicked
2026-06-17 11:29:49 | automation | INFO | ========== TC_ATC_003 Finished ==========
