2026-06-14 11:50:29 | automation | INFO | ========== TC_SF_015 Started ==========
2026-06-14 11:50:31 | automation | INFO | Application Opened Successfully
2026-06-14 11:50:32 | automation | INFO | Searched Product : Mac
2026-06-14 11:50:32 | automation | INFO | 4 Products Displayed
2026-06-14 11:50:32 | automation | INFO | Selecting Show Option : 20
2026-06-14 11:50:34 | automation | INFO | Selecting Show Option : 25
2026-06-14 11:50:36 | automation | INFO | Selecting Show Option : 50
2026-06-14 11:50:38 | automation | INFO | Selecting Show Option : 75
2026-06-14 11:50:40 | automation | INFO | Selecting Show Option : 100
